hex_id,F1,F2,F3,F4,F5,class_km
881f2a6089fffff,0.2072260463545529,-0.2131220954936092,-0.9431965497382669,-0.020275529805236097,-0.9885915460957619,0
881f2a61d9fffff,-0.07193776778837181,-0.1678531581944211,0.13398572666274394,-0.26205693687487386,-0.4435124283129821,0
881f0c9b25fffff,-0.07123379485280033,-0.3261346687138407,1.585231611078639,-0.27943411127272383,1.0147484499984647,3
881f2a75cdfffff,0.10723127618516892,-0.2939322312379977,2.7906805377873365,-0.3440116046857292,-0.7111406807822146,3
881f2a771dfffff,0.0649966775103737,1.0019487845594675,-0.15796076031930814,-0.12030240472705465,-1.0129593210215075,0
881f2a65c9fffff,-0.23565306308751377,-0.13801207721774675,1.7012331626357717,0.032144315187015604,-0.3436827530263745,3
881f2a6719fffff,-0.16803719666660902,-0.14329361641350247,0.9403954951287689,-0.3359293038043185,-0.19444722874124692,3
881f2a6067fffff,3.220881221372512,-0.18485157260388987,-0.6388680085872718,-0.7394101673186958,1.1480060057857762,1
881f2a0dd5fffff,1.170545780646083,-0.3052620502619409,0.7200150539850042,1.7674808111789007,-1.6556434054002247,3
881f2a6c59fffff,-1.277749226372463,1.7922767427418944,-0.9730762932271663,2.0472183088486338,5.4806550687379705,7
881f0c9b03fffff,-0.07335041245928674,-0.175530558342406,-0.9900824980316644,-0.06643999523397781,-0.8319660597012918,0
881f2a75abfffff,-0.25186749967017685,-0.04778570632624882,1.6636802155317423,-0.49355482431128245,0.04735912981219773,3
881f2a6457fffff,-0.8770983883949857,-0.15552904374620424,-0.8868074364877062,-0.8830924915365481,2.5123222147360003,0
881f2a65a7fffff,-0.5385838915351957,-0.06137253407237593,-1.15438212224997,-0.5699688713160569,0.8305649562129604,0
881f0c9841fffff,-0.19925382305948156,-0.09592137857068282,-0.48519743455984204,-0.3492411359815492,-0.04929287487270415,0
881f2a6045fffff,-0.41634623096416085,-0.10458856728587987,-0.1841534156345664,-0.19154101601768955,-0.34651600517909764,0
881f2a6195fffff,-0.47779760246927055,-0.1096797239531791,-0.4036649379427041,-0.2954639448254199,-0.1135208338443907,0
881f2a0db3fffff,-0.09697322135829625,-0.15419245605348753,-1.0023580466909159,-0.12113999128726079,-0.6590815377406191,0
881f2a7439fffff,0.6517753475832708,1.3944914540459703,-0.4507712038991401,-0.09722099914658495,-1.0997933805970903,0
881f2a62e5fffff,-0.164652699798119,0.3654460895608389,0.2958166535209442,-0.8841812211928609,1.0188738851617698,0
